iter	Passed	Remaining
0	291	291224
1	436	218044
2	567	188500
3	696	173374
4	835	166298
5	978	162157
6	1110	157510
7	1239	153739
8	1365	150324
9	1485	147048
10	1620	145719
11	1765	145337
12	1901	144396
13	2037	143464
14	2174	142819
15	2293	141077
16	2434	140774
17	2565	139988
18	2702	139519
19	2854	139849
20	2990	139399
21	3110	138254
22	3247	137948
23	3379	137419
24	3529	137665
25	3681	137923
26	3811	137350
27	3955	137322
28	4088	136908
29	4200	135821
30	4322	135110
31	4449	134590
32	4582	134293
33	4708	133777
34	4834	133291
35	4975	133231
36	5100	132744
37	5209	131875
38	5331	131363
39	5459	131039
40	5582	130582
41	5727	130635
42	5874	130747
43	6004	130458
44	6131	130114
45	6282	130298
46	6485	131509
47	6740	133695
48	6988	135631
49	7240	137573
50	7432	138297
51	7674	139913
52	7911	141368
53	8174	143204
54	8382	144018
55	8600	144974
56	8805	145673
57	9052	147017
58	9311	148514
59	9492	148720
60	9606	147879
61	9735	147282
62	9852	146537
63	9961	145683
64	10068	144827
65	10189	144193
66	10310	143582
67	10431	142975
68	10545	142281
69	10677	141863
70	10801	141331
71	10918	140732
72	11030	140072
73	11140	139411
74	11251	138765
75	11362	138139
76	11505	137922
77	11629	137469
78	11747	136960
79	11891	136751
80	12004	136198
81	12113	135610
82	12221	135025
83	12337	134535
84	12449	134014
85	12562	133509
86	12679	133057
87	12788	132534
88	12926	132313
89	13037	131822
90	13155	131406
91	13262	130897
92	13371	130410
93	13506	130176
94	13616	129714
95	13729	129286
96	13867	129093
97	13994	128805
98	14109	128406
99	14220	127981
100	14328	127541
101	14446	127185
102	14575	126934
103	14696	126616
104	14834	126446
105	14943	126034
106	15053	125629
107	15178	125364
108	15321	125246
109	15430	124845
110	15543	124486
111	15657	124144
112	15778	123853
113	15887	123479
114	16007	123185
115	16117	122827
116	16231	122496
117	16340	122140
118	16456	121832
119	16570	121517
120	16682	121189
121	16799	120903
122	16919	120638
123	17030	120310
124	17153	120075
125	17285	119903
126	17428	119801
127	17539	119489
128	17655	119207
129	17773	118942
130	17882	118626
131	17992	118314
132	18104	118019
133	18216	117724
134	18336	117487
135	18447	117196
136	18580	117046
137	18690	116747
138	18798	116444
139	18908	116151
140	19017	115857
141	19130	115593
142	19255	115395
143	19372	115156
144	19482	114879
145	19590	114592
146	19702	114330
147	19833	114175
148	19944	113909
149	20053	113634
150	20184	113487
151	20298	113242
152	20407	112974
153	20526	112760
154	20636	112501
155	20742	112224
156	20861	112012
157	20983	111824
158	21093	111571
159	21210	111354
160	21320	111106
161	21436	110886
162	21549	110656
163	21655	110390
164	21780	110220
165	21889	109977
166	22011	109794
167	22129	109591
168	22238	109348
169	22346	109104
170	22456	108869
171	22564	108625
172	22674	108391
173	22799	108233
174	22912	108014
175	23038	107861
176	23147	107629
177	23271	107468
178	23380	107238
179	23489	107007
180	23599	106784
181	23726	106638
182	23846	106463
183	23959	106253
184	24065	106017
185	24180	105822
186	24289	105600
187	24412	105442
188	24523	105229
189	24630	105001
190	24750	104834
191	24872	104671
192	24984	104468
193	25102	104291
194	25215	104095
195	25333	103917
196	25449	103735
197	25558	103525
198	25678	103360
199	25797	103190
200	25914	103013
201	26037	102861
202	26185	102807
203	26312	102671
204	26445	102555
205	26566	102397
206	26719	102359
207	26828	102153
208	26949	101994
209	27074	101853
210	27195	101692
211	27314	101525
212	27430	101352
213	27544	101166
214	27672	101037
215	27803	100914
216	27917	100736
217	28028	100541
218	28138	100347
219	28249	100156
220	28357	99957
221	28479	99806
222	28589	99615
223	28702	99432
224	28814	99250
225	28927	99070
226	29040	98892
227	29148	98695
228	29266	98533
229	29390	98395
230	29524	98285
231	29632	98095
232	29786	98052
233	29896	97865
234	30008	97688
235	30136	97559
236	30247	97380
237	30356	97192
238	30524	97191
239	30665	97107
240	30780	96939
241	30896	96776
242	31011	96606
243	31150	96514
244	31266	96353
245	31390	96214
246	31515	96076
247	31645	95956
248	31764	95804
249	31883	95649
250	31997	95482
251	32110	95312
252	32216	95121
253	32348	95006
254	32459	94831
255	32572	94663
256	32684	94491
257	32814	94373
258	32925	94198
259	33045	94052
260	33181	93950
261	33290	93772
262	33407	93618
263	33518	93444
264	33627	93267
265	33736	93092
266	33844	92913
267	33955	92744
268	34071	92587
269	34181	92415
270	34287	92234
271	34394	92057
272	34525	91941
273	34648	91806
274	34758	91635
275	34877	91490
276	34983	91309
277	35091	91137
278	35214	91001
279	35338	90869
280	35467	90751
281	35582	90595
282	35691	90427
283	35801	90260
284	35910	90091
285	36032	89956
286	36143	89792
287	36255	89632
288	36371	89480
289	36498	89358
290	36607	89192
291	36717	89027
292	36828	88865
293	36936	88698
294	37058	88564
295	37170	88405
296	37296	88281
297	37404	88113
298	37513	87949
299	37623	87788
300	37734	87629
301	37843	87466
302	37954	87308
303	38077	87177
304	38189	87021
305	38305	86875
306	38433	86757
307	38548	86609
308	38655	86442
309	38774	86304
310	38884	86146
311	38991	85982
312	39112	85847
313	39239	85726
314	39349	85569
315	39457	85408
316	39566	85249
317	39695	85132
318	39827	85024
319	39957	84910
320	40084	84790
321	40210	84666
322	40317	84504
323	40440	84375
324	40559	84239
325	40668	84081
326	40797	83965
327	40913	83823
328	41020	83662
329	41129	83506
330	41238	83349
331	41343	83186
332	41450	83024
333	41586	82924
334	41715	82808
335	41861	82725
336	41979	82588
337	42090	82437
338	42200	82284
339	42310	82131
340	42418	81976
341	42538	81843
342	42654	81703
343	42768	81558
344	42876	81402
345	42985	81250
346	43095	81099
347	43205	80948
348	43325	80816
349	43439	80672
350	43549	80522
351	43685	80420
352	43801	80281
353	43911	80131
354	44043	80023
355	44152	79871
356	44266	79728
357	44386	79597
358	44519	79490
359	44635	79352
360	44746	79205
361	44868	79078
362	44976	78925
363	45101	78803
364	45224	78677
365	45341	78543
366	45458	78406
367	45572	78266
368	45686	78124
369	45798	77981
370	45906	77830
371	46025	77698
372	46132	77547
373	46244	77403
374	46371	77286
375	46483	77142
376	46592	76994
377	46707	76856
378	46828	76729
379	46940	76586
380	47069	76472
381	47198	76357
382	47305	76206
383	47418	76067
384	47526	75919
385	47638	75777
386	47756	75645
387	47865	75499
388	47975	75355
389	48083	75207
390	48192	75061
391	48301	74917
392	48426	74796
393	48538	74655
394	48650	74514
395	48767	74382
396	48876	74237
397	48997	74112
398	49112	73977
399	49223	73834
400	49357	73728
401	49479	73603
402	49588	73460
403	49715	73343
404	49837	73218
405	49948	73077
406	50063	72942
407	50181	72812
408	50294	72675
409	50408	72539
410	50518	72397
411	50641	72274
412	50757	72142
413	50867	72001
414	50977	71859
415	51100	71737
416	51211	71598
417	51327	71466
418	51438	71326
419	51546	71182
420	51663	71052
421	51777	70917
422	51898	70792
423	52008	70652
424	52123	70520
425	52236	70384
426	52350	70250
427	52468	70121
428	52589	69997
429	52697	69854
430	52815	69726
431	52929	69593
432	53063	69485
433	53173	69346
434	53301	69230
435	53412	69093
436	53533	68969
437	53648	68836
438	53763	68705
439	53876	68570
440	54026	68483
441	54140	68349
442	54253	68215
443	54359	68072
444	54518	67995
445	54625	67852
446	54736	67716
447	54860	67595
448	54992	67485
449	55099	67343
450	55209	67205
451	55314	67063
452	55440	66944
453	55546	66802
454	55660	66670
455	55780	66545
456	55887	66404
457	55993	66263
458	56100	66122
459	56215	65992
460	56326	65857
461	56441	65725
462	56549	65587
463	56658	65450
464	56775	65322
465	56885	65186
466	57001	65057
467	57113	64923
468	57222	64787
469	57330	64649
470	57450	64525
471	57555	64384
472	57664	64248
473	57782	64121
474	57922	64019
475	58033	63885
476	58155	63764
477	58267	63630
478	58391	63511
479	58506	63381
480	58618	63249
481	58757	63146
482	58868	63012
483	58984	62884
484	59118	62775
485	59231	62643
486	59347	62516
487	59457	62381
488	59565	62245
489	59674	62109
490	59794	61986
491	59930	61879
492	60049	61754
493	60163	61625
494	60289	61507
495	60397	61371
496	60514	61245
497	60626	61113
498	60741	60985
499	60849	60849
500	60961	60717
501	61075	60588
502	61212	60482
503	61335	60362
504	61458	60241
505	61592	60131
506	61711	60007
507	61851	59903
508	61975	59783
509	62090	59655
510	62229	59549
511	62359	59436
512	62468	59302
513	62601	59191
514	62711	59058
515	62850	58952
516	62978	58836
517	63092	58707
518	63202	58575
519	63321	58450
520	63433	58319
521	63540	58184
522	63645	58048
523	63753	57913
524	63871	57788
525	63984	57659
526	64102	57534
527	64214	57403
528	64334	57280
529	64442	57146
530	64551	57014
531	64663	56884
532	64811	56786
533	64926	56658
534	65038	56528
535	65152	56400
536	65266	56272
537	65381	56145
538	65505	56026
539	65628	55905
540	65755	55789
541	65871	55662
542	65980	55530
543	66126	55429
544	66243	55304
545	66357	55176
546	66465	55043
547	66588	54923
548	66708	54800
549	66830	54679
550	66945	54552
551	67059	54424
552	67182	54304
553	67293	54175
554	67405	54045
555	67514	53914
556	67621	53781
557	67771	53682
558	67884	53554
559	68010	53436
560	68119	53305
561	68228	53174
562	68355	53057
563	68466	52928
564	68591	52809
565	68699	52677
566	68825	52560
567	68954	52444
568	69067	52316
569	69191	52197
570	69300	52066
571	69416	51940
572	69536	51818
573	69645	51687
574	69762	51563
575	69868	51431
576	69973	51297
577	70088	51171
578	70194	51039
579	70326	50925
580	70436	50796
581	70547	50668
582	70671	50548
583	70782	50420
584	70894	50292
585	71003	50163
586	71132	50047
587	71246	49921
588	71356	49792
589	71464	49661
590	71570	49530
591	71676	49398
592	71783	49267
593	71890	49136
594	71998	49007
595	72107	48878
596	72239	48764
597	72352	48638
598	72475	48518
599	72589	48392
600	72708	48270
601	72822	48144
602	72943	48024
603	73068	47905
604	73176	47776
605	73314	47666
606	73421	47536
607	73557	47425
608	73667	47297
609	73781	47171
610	73896	47046
611	74016	46925
612	74135	46803
613	74247	46676
614	74368	46555
615	74480	46429
616	74591	46302
617	74710	46180
618	74830	46058
619	74943	45933
620	75067	45813
621	75182	45689
622	75293	45562
